"oldimg","newicon","color"
/img/action-add.gif,fa-plus-circle,spacewalk-icon-green
/img/action-clone.gif,fa-copy,spacewalk-icon-blue
/img/action-del.gif,fa-minus-circle,spacewalk-icon-red
/img/action-download.gif,icon-download,spacewalk-icon-blue
/img/action-remove.gif,fa-times-circle-o,spacewalk-icon-green
/img/action-upload.gif,fa-upload,spacewalk-icon-blue
/img/back.gif,fa-chevron-circle-left,default
/img/branch.gif,,default
/img/button-down.gif,fa-arrow-down,default
/img/button-go.gif,,default
/img/button-up.gif,fa-arrow-up,default
/img/button-use_group.gif,,default
/img/channel_child_node.gif,,default
/img/channel_parent_node.gif,,default
/img/chat.png,fa-comment,spacewalk-icon-blue
/img/configureScoutError.gif,,default
/img/configureScout.gif,,default
/img/configureScoutOK.gif,,default
/img/configureScoutPending.gif,,default
/img/configureScoutWarning.gif,,default
/img/csv-16.png,spacewalk-icon-download-csv,spacewalk-icon-blue
/img/external-link.gif,fa-external-link,spacewalk-icon-blue
/img/favicon.ico,,default
/img/file-config.png,,default
/img/folder-config.png,,default
/img/folder-config-sm.png,,default
/img/forward.gif,fa-chevron-circle-right,default
/img/icon_checkin.gif,fa-question-circle,spacewalk-icon-blue
/img/icon_crit_update.gif,fa-exclamation-circle,spacewalk-icon-red
/img/icon_kickstart_session.gif,fa-rocket,defaulr
/img/icon_kickstart_session-medium.gif,fa-rocket,default
/img/icon_locked.gif,fa-lock,default
/img/icon_pending.gif,fa-clock-o,default
/img/icon_reg_update.gif,fa-warning,spacewalk-icon-yellow
/img/icon_subicon_monitoring.gif,spacewalk-icon-monitoring-status,default
/img/icon_unentitled.gif,fa-times,default
/img/icon_up2date.gif,fa-check-square-o,spacewalk-icon-blue
/img/link-config.png,,default
/img/list-allbackward.gif,fa-step-backward,default
/img/list-allbackward-unfocused.gif,,spacewalk-icon-unfocused
/img/list-allforward.gif,fa-step-forward,default
/img/list-allforward-unfocused.gif,,spacewalk-icon-unfocused
/img/list-backward.gif,fa-chevron-left,default
/img/list-backward-unfocused.gif,,spacewalk-icon-unfocused
