"oldimg","newicon","color"
/img/action-add.gif,icon-plus-sign,spacewalk-icon-green
/img/action-clone.gif,icon-copy,spacewalk-icon-blue
/img/action-del.gif,icon-minus-sign,spacewalk-icon-red
/img/action-download.gif,icon-download,spacewalk-icon-blue
/img/action-remove.gif,icon-remove-circle,spacewalk-icon-green
/img/action-upload.gif,icon-upload,spacewalk-icon-blue
/img/back.gif,icon-chevron-sign-left,default
/img/branch.gif,,default
/img/button-down.gif,icon-arrow-down,default
/img/button-go.gif,,default
/img/button-up.gif,icon-arrow-up,default
/img/button-use_group.gif,,default
/img/channel_child_node.gif,,default
/img/channel_parent_node.gif,,default
/img/chat.png,icon-comment,spacewalk-icon-blue
/img/configureScoutError.gif,,default
/img/configureScout.gif,,default
/img/configureScoutOK.gif,,default
/img/configureScoutPending.gif,,default
/img/configureScoutWarning.gif,,default
/img/csv-16.png,spacewalk-icon-download-csv,spacewalk-icon-blue
/img/external-link.gif,icon-external-link,spacewalk-icon-blue
/img/favicon.ico,,default
/img/file-config.png,,default
/img/folder-config.png,,default
/img/folder-config-sm.png,,default
/img/forward.gif,icon-chevron-sign-right,default
/img/icon_checkin.gif,icon-question-sign,spacewalk-icon-blue
/img/icon_crit_update.gif,icon-exclamation-sign,spacewalk-icon-red
/img/icon_kickstart_session.gif,icon-rocket,defaulr
/img/icon_kickstart_session-medium.gif,icon-rocket,default
/img/icon_locked.gif,icon-lock,default
/img/icon_pending.gif,icon-time,default
/img/icon_reg_update.gif,icon-warning-sign,spacewalk-icon-yellow
/img/icon_subicon_monitoring.gif,spacewalk-icon-monitoring-status,default
/img/icon_unentitled.gif,icon-remove,default
/img/icon_up2date.gif,icon-check,spacewalk-icon-blue
/img/link-config.png,,default
/img/list-allbackward.gif,icon-step-backward,default
/img/list-allbackward-unfocused.gif,,spacewalk-icon-unfocused
/img/list-allforward.gif,icon-step-forward,default
/img/list-allforward-unfocused.gif,,spacewalk-icon-unfocused
/img/list-backward.gif,icon-chevron-left,default
/img/list-backward-unfocused.gif,,spacewalk-icon-unfocused
/img/list-collapse.gif,icon-collapse,default
/img/list-expand.gif,icon-expand-alt,default
/img/list-forward.gif,icon-chevron-right,default
/img/list-forward-unfocused.gif,,spacewalk-icon-unfocused
/img/logo.png,,default
/img/logo_product.png,,default
/img/logo_vendor.png,,default
/img/monitoring_icon.gif,spacewalk-icon-monitoring-status,default
/img/parent_node.gif,,default
/img/restart.png,icon-refresh,spacewalk-icon-blue
/img/rhn-bullet.gif,,default
/img/rhn-bullet-parentchannel.gif,,default
/img/rhn-config_central.gif,,default
/img/rhn-config_channels.gif,,default
/img/rhn-config_files.gif,spacewalk-icon-manage-configuration-files,default
/img/rhn-config_management.gif,icon-cog,default
/img/rhn-config_namespace-2.gif,,default
/img/rhn-config_sandbox.gif,,default
/img/rhn-config_system.gif,,default
/img/rhn-go-up.gif,icon-caret-up,default
/img/rhn-icon-api.gif,icon-cogs,default
/img/rhn-icon-bug-ex.gif,,spacewalk-icon-red
/img/rhn-icon-bug.gif,icon-bug,default
/img/rhn-icon-channels.gif,spacewalk-icon-software-channels,default
/img/rhn-icon-enhancement.gif,,spacewalk-icon-green
/img/rhn-icon-errata.gif,,default
/img/rhn-icon-form.gif,,default
/img/rhn-icon-help.gif,,default
/img/rhn-icon-help-h1.gif,,default
/img/rhn-icon-info.gif,icon-info-sign,spacewalk-icon-blue
/img/rhn-icon-keyring.gif,icon-key,default
/img/rhn-icon-note.gif,,default
/img/rhn-icon-org.gif,icon-group,default
/img/rhn-icon-package_add.gif,,spacewalk-icon-green
/img/rhn-icon-package_del.gif,,spacewalk-icon-red
/img/rhn-icon-package_extra.gif,,spacewalk-icon-blue
/img/rhn-icon-packages.gif,spacewalk-icon-packages,default
/img/rhn-icon-package-upgrade.gif,,spacewalk-icon-blue
/img/rhn-icon-patch.gif,spacewalk-icon-patches,default
/img/rhn-icon-patch_remove.gif,,spacewalk-icon-red
/img/rhn-icon-patchset.gif,,default
/img/rhn-icon-patchset_install.gif,,spacewalk-icon-blue
/img/rhn-icon-path_install.gif,,spacewalk-icon-green
/img/rhn-icon-preferences.gif,icon-cog,default
/img/rhn-icon-proxy.gif,,spacewalk-icon-blue
/img/rhn-icon-schedule_computer.gif,,default
/img/rhn-icon-schedule.gif,,default
/img/rhn-icon-search.gif,icon-search,default
/img/rhn-icon-security.gif,icon-lock,default
/img/rhn-icon-software.gif,spacewalk-icon-software-channels,default
/img/rhn-icon-subscribe_replace.png,,default
/img/rhn-icon-system.gif,icon-desktop,default
/img/rhn-icon-system_group.gif,spacewalk-icon-system-groups,default
/img/rhn-icon-unlocked.gif,icon-unlock-alt,default
/img/rhn-icon-users.gif,icon-user,default
/img/rhn-icon-warning.gif,icon-warning-sign,spacewalk-icon-yellow
/img/rhn-icon-your_rhn.gif,icon-dashboard,default
/img/rhn-kickstart_profile.gif,icon-rocket,default
/img/rhn-listicon-activity.gif,,default
/img/rhn-listicon-alert.gif,icon-warning-sign,spacewalk-icon-yellow
/img/rhn-listicon-arrow-ascend.gif,icon-chevron-down,default
/img/rhn-listicon-arrow-descend.gif,icon-chevron-up,default
/img/rhn-listicon-cfg_error.gif,icon-question,spacewalk-icon-red
/img/rhn-listicon-cfg_file.gif,icon-file-text-alt,default
/img/rhn-listicon-cfg_folder.gif,icon-folder-open-alt,default
/img/rhn-listicon-cfg_symlink.gif,,default
/img/rhn-listicon-channel.gif,spacewalk-icon-software-channels,default
/img/rhn-listicon-checked.gif,icon-ok,spacewalk-icon-green
/img/rhn-listicon-checked_immutable.gif,,spacewalk-icon-unfocused
/img/rhn-listicon-errata.gif,,default
/img/rhn-listicon-error.gif,icon-remove-sign,spacewalk-icon-red
/img/rhn-listicon-ok.gif,icon-ok,spacewalk-icon-green
/img/rhn-listicon-package.gif,icon-dropbox,default
/img/rhn-listicon-pending.gif,icon-time,default
/img/rhn-listicon-preferences.gif,icon-cog,default
/img/rhn-listicon-sandbox.gif,,default
/img/rhn-listicon-sandbox.png,,default
/img/rhn-listicon-system.gif,icon-desktop,default
/img/rhn-listicon-unchecked.gif,icon-circle-blank,default
/img/rhn-listicon-unchecked_immutable.gif,,spacewalk-icon-unfocused
/img/rhn-listicon-user.gif,icon-user,default
/img/rhn-listicon-virtguest.gif,,default
/img/rhn-listicon-virthost.gif,,default
/img/rhn-mini_icon-critical.gif,icon-circle,spacewalk-icon-red
/img/rhn-mini_icon-warning.gif,icon-warning-sign,spacewalk-icon-yellow
/img/rhn-mon-down.gif,,spacewalk-icon-red
/img/rhn-mon-ok.gif,,spacewalk-icon-green
/img/rhn-mon-pending.gif,,default
/img/rhn-mon-unknown.gif,,spacewalk-icon-blue
/img/rhn-mon-warning.gif,,spacewalk-icon-yellow
/img/rhn-rollback.gif,,default
/img/rhn-snapshot.gif,icon-camera,default
/img/rhn_welcome3.gif,,default
/img/spacewalk-header-background.png,,default
/img/spinner.gif,,default
/img/virt-guest.png,,default
/img/virt-host.png,,default
/img/work_with_group.gif,,default
/img/wrh-bug.gif,icon-bug,default
/img/wrh_bug-grey.gif,icon-bolt,spacewalk-icon-green
/img/wrh_bug-white.gif,icon-bug,default
/img/wrh_feature-grey.gif,,default
/img/wrh_feature-white.gif,,default
/img/wrh-product.gif,,default
/img/wrh-security.gif,icon-lock,default
/img/wrh_security-grey.gif,icon-lock,default
/img/wrh_security-white.gif,icon-lock,default
/img/docs/bullet_arrowspacewalk-icon-blue.png,iron-caret-right,spacewalk-icon-blue
/img/docs/caution.png,icon-warning-sign,spacewalk-icon-yellow
/img/docs/dot2.png,icon-forward,spacewalk-icon-unfocused
/img/docs/dot.png,icon-circle,spacewalk-icon-unfocused
/img/docs/important.png,icon-star,spacewalk-icon-yellow
/img/docs/key.png,,default
/img/docs/note.png,icon-comment,spacewalk-icon-blue
/img/docs/shade.png,,default
/img/docs/stock-go-back.png,icon-caret-left,spacewalk-icon-blue
/img/docs/stock-go-forward.png,icon-caret-right,spacewalk-icon-blue
/img/docs/stock-go-up.png,icon-caret-up,spacewalk-icon-blue
/img/docs/stock-go-up.png.1,icon-caret-up,spacewalk-icon-blue
/img/docs/stock-home.png,icon-home,default
/img/docs/tip.png,icon-lightbulb,spacewalk-icon-yellow
/img/docs/warning.png,icon-warning-sign,spacewalk-icon-yellow
/img/i18n/bn_IN.gif,,default
/img/i18n/de.gif,,default
/img/i18n/en_US.gif,,default
/img/i18n/es.gif,,default
/img/i18n/fr.gif,,default
/img/i18n/gu.gif,,default
/img/i18n/hi.gif,,default
/img/i18n/it.gif,,default
/img/i18n/ja.gif,,default
/img/i18n/ko.gif,,default
/img/i18n/pa.gif,,default
/img/i18n/pt_BR.gif,,default
/img/i18n/ru.gif,,default
/img/i18n/ta.gif,,default
/img/i18n/zh_CN.gif,,default
/img/i18n/zh_TW.gif,,default
/img/nav/navPrimeBtmBrd.png,,default
/img/nav/navPrimeLeft3.png,,default
/img/nav/navPrimeRight3.png,,default
/img/nav/navPrimeTabLeft.gif,,default
/img/nav/navPrimeTabLeft.png,,default
/img/nav/navPrimeTabRight.png,,default
/img/nav/navSecondBkgd.png,,default
